0	30	W
30	30	W
60	30	W
90	30	W
120	30	W
150	30	W
180	30	W
210	30	W
240	30	W
270	30	W
300	30	W
330	30	W
360	30	W
390	30	W
420	30	W
450	30	W
480	30	W
510	30	W
540	30	W
570	30	W
600	30	W
630	30	W
660	30	W
690	30	W
720	30	W
750	30	W
780	30	W
810	30	W
840	30	W
870	30	W
900	30	W
930	30	W
960	30	W
990	30	W
1020	30	W
1050	30	W
1080	30	W
1110	30	R
1140	30	W
1170	30	W
1200	30	N1
1230	30	N1
1260	30	W
1290	30	W
1320	30	N2
1350	30	W
1380	30	W
1410	30	N2
1440	30	W
1470	30	N1
1500	30	N1
1530	30	W
1560	30	N2
1590	30	N1
1620	30	N2
1650	30	N2
1680	30	N2
1710	30	N2
1740	30	N2
1770	30	N2
1800	30	N1
1830	30	N2
1860	30	N2
1890	30	N2
1920	30	N2
1950	30	N2
1980	30	N2
2010	30	N2
2040	30	N2
2070	30	N2
2100	30	N2
2130	30	N2
2160	30	N2
2190	30	N2
2220	30	N2
2250	30	N2
2280	30	N2
2310	30	N2
2340	30	N2
2370	30	N2
2400	30	N2
2430	30	N2
2460	30	N2
2490	30	N2
2520	30	N2
2550	30	N2
2580	30	N2
2610	30	N2
2640	30	N2
2670	30	N2
2700	30	N2
2730	30	N2
2760	30	N2
2790	30	N2
2820	30	N2
2850	30	N2
2880	30	N2
2910	30	N2
2940	30	N2
2970	30	N2
3000	30	N2
3030	30	N2
3060	30	N2
3090	30	N2
3120	30	N2
3150	30	N2
3180	30	N2
3210	30	N2
3240	30	N2
3270	30	N2
3300	30	N2
3330	30	N2
3360	30	N2
3390	30	N2
3420	30	N2
3450	30	N1
3480	30	W
3510	30	W
3540	30	W
3570	30	W
3600	30	W
3630	30	W
3660	30	W
3690	30	W
3720	30	W
3750	30	W
3780	30	N1
3810	30	N1
3840	30	N1
3870	30	N2
3900	30	N2
3930	30	N2
3960	30	R
3990	30	R
4020	30	R
4050	30	R
4080	30	R
4110	30	R
4140	30	R
4170	30	R
4200	30	R
4230	30	R
4260	30	R
4290	30	R
4320	30	R
4350	30	R
4380	30	R
4410	30	R
4440	30	R
4470	30	R
4500	30	R
4530	30	R
4560	30	R
4590	30	W
4620	30	W
4650	30	W
4680	30	W
4710	30	W
4740	30	W
4770	30	W
4800	30	W
4830	30	W
4860	30	W
4890	30	W
4920	30	W
4950	30	W
4980	30	W
5010	30	W
5040	30	W
5070	30	W
5100	30	W
5130	30	W
5160	30	W
